 ,Area,Mean,Min,Max
1,0.589,255,255,255
2,0.912,255,255,255
3,0.928,255,255,255
4,0.930,255,255,255
5,0.863,255,255,255
6,0.904,255,255,255
7,0.638,255,255,255
8,0.912,255,255,255
9,0.681,255,255,255
10,0.879,255,255,255
11,0.929,255,255,255
12,0.704,255,255,255
13,0.919,255,255,255
14,0.783,255,255,255
15,0.694,255,255,255
16,0.908,255,255,255
17,0.914,255,255,255
18,0.552,255,255,255
19,0.920,255,255,255
20,0.773,255,255,255
