 ,Area,Mean,Min,Max
1,0.517,255,255,255
2,0.489,255,255,255
3,0.614,255,255,255
4,0.484,255,255,255
5,0.412,255,255,255
6,0.517,255,255,255
7,0.531,255,255,255
8,0.518,255,255,255
9,0.506,255,255,255
10,0.545,255,255,255
11,0.386,255,255,255
12,0.450,255,255,255
13,0.469,255,255,255
14,0.500,255,255,255
15,0.567,255,255,255
16,0.485,255,255,255
17,0.580,255,255,255
18,0.481,255,255,255
19,0.563,255,255,255
20,0.575,255,255,255
